PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Single Family Residential,Sammamish,WA,98074,1075000,4.0,3.5,3920.0,20127.0,1990.0,24,274.0,25.0,N,Y,47.656090500000005,-122.08692090000001
Single Family Residential,Seattle,WA,98106,555000,3.0,2.5,1320.0,1735.0,2004.0,24,420.0,36.0,N,Y,47.5358716,-122.3651446
Single Family Residential,Newcastle,WA,98056,899000,4.0,2.5,2760.0,6009.0,2003.0,25,326.0,25.0,N,Y,47.5262205,-122.18637520000001
Condo/Co-op,Seattle,WA,98103,319900,1.0,1.0,611.0,7576.5,2006.0,25,524.0,297.0,N,Y,47.695828999999996,-122.3558138
Condo/Co-op,Seattle,WA,98121,425000,1.0,1.0,603.0,7576.5,2009.0,25,705.0,432.0,N,Y,47.6176091,-122.35230379999999
Townhouse,Redmond,WA,98052,1100000,4.0,3.25,2604.0,3360.0,2014.0,25,422.0,561.0,N,Y,47.6774982,-122.11441380000001
Single Family Residential,Bellevue,WA,98008,875000,3.0,2.5,2547.0,10500.0,1964.0,31,344.0,241.0,N,Y,47.5811524,-122.119496
Condo/Co-op,Seattle,WA,98133,338950,1.0,1.0,716.0,11083.0,1979.0,31,473.0,262.0,N,Y,47.701943,-122.3455297
Condo/Co-op,Seattle,WA,98102,649000,2.0,1.5,1066.0,7576.5,1929.0,32,609.0,651.0,N,Y,47.6197015,-122.3166057
Townhouse,Seattle,WA,98122,648000,2.0,2.5,1450.0,1029.0,2007.0,32,447.0,241.0,N,Y,47.6018183,-122.29868950000001
Townhouse,Seattle,WA,98136,628000,3.0,1.75,1351.0,1292.0,2014.0,33,465.0,241.0,N,Y,47.55219520000001,-122.38196529999999
Single Family Residential,Seattle,WA,98126,675000,4.0,2.25,1850.0,2351.0,2014.0,34,365.0,92.0,N,Y,47.543026,-122.37163829999999
Condo/Co-op,Seattle,WA,98102,399000,1.0,1.0,542.0,39466.0,2007.0,38,736.0,313.0,N,Y,47.6237244,-122.3206618
Single Family Residential,Kenmore,WA,98028,624900,3.0,1.75,1580.0,12494.0,1936.0,39,396.0,241.0,N,Y,47.7502482,-122.23348429999999
Single Family Residential,Seattle,WA,98109,4850000,4.0,3.75,5110.0,9583.0,1972.0,41,949.0,241.0,N,Y,47.6307611,-122.3503143
Condo/Co-op,Seattle,WA,98121,579999,2.0,1.0,1104.0,7576.5,2009.0,41,525.0,804.0,N,Y,47.6176091,-122.35230379999999
Condo/Co-op,Seattle,WA,98107,448000,1.0,1.0,649.0,7576.5,2007.0,42,690.0,266.0,N,Y,47.6676185,-122.38260159999999
Single Family Residential,Seattle,WA,98112,2099000,4.0,4.25,4645.0,7757.0,2006.0,45,452.0,241.0,N,Y,47.62482429999999,-122.29032450000001
Single Family Residential,Seattle,WA,98112,3175000,4.0,3.25,4463.0,9964.0,1929.0,45,711.0,233.0,N,Y,47.631896999999995,-122.2890726
Townhouse,Issaquah,WA,98027,664500,3.0,2.5,1925.0,1354.0,2013.0,46,345.0,176.0,N,Y,47.5325052,-122.07076200000002
Condo/Co-op,Seattle,WA,98102,640000,2.0,1.75,1455.0,7576.5,2004.0,46,440.0,761.0,N,Y,47.6512112,-122.3219345
Single Family Residential,Redmond,WA,98052,1120000,5.0,4.5,3380.0,4637.0,2008.0,46,331.0,83.0,N,Y,47.6747344,-122.1403697
Condo/Co-op,Seattle,WA,98121,510000,1.0,1.0,787.0,20794.0,1989.0,53,648.0,621.0,N,Y,47.615433,-122.3486192
Single Family Residential,Shoreline,WA,98133,924950,4.0,2.5,2636.0,8913.0,2016.0,54,351.0,241.0,N,Y,47.764611200000004,-122.35061999999999
Single Family Residential,Seattle,WA,98115,618999,2.0,1.0,1340.0,2550.0,1908.0,67,462.0,241.0,N,Y,47.6832682,-122.3231125
Multi-Family (2-4 Unit),Mountlake Terrace,WA,98043,629000,4.0,2.0,2160.0,11326.0,1979.0,87,291.0,241.0,N,Y,47.80413,-122.2948229
Single Family Residential,Renton,WA,98056,345000,2.0,1.0,1030.0,6500.0,1954.0,87,335.0,241.0,N,Y,47.4973791,-122.1706455
Condo/Co-op,Shoreline,WA,98133,289950,2.0,1.0,731.0,7576.5,1986.0,88,397.0,253.0,N,Y,47.7724671,-122.34506
Single Family Residential,Mercer Island,WA,98040,950000,3.0,1.0,1400.0,11200.0,1953.0,89,679.0,241.0,N,Y,47.576950200000006,-122.218193
Single Family Residential,Burien,WA,98146,949000,2.0,2.5,2470.0,23197.0,1942.0,101,384.0,241.0,N,Y,47.4923514,-122.3678856
Single Family Residential,Seattle,WA,98118,625000,3.0,1.75,1780.0,5887.0,1900.0,103,351.0,241.0,N,Y,47.541551899999995,-122.270187
Condo/Co-op,Seattle,WA,98109,330000,0.0,1.0,443.0,7576.5,2003.0,104,745.0,234.0,N,Y,47.619628799999994,-122.3571754
Single Family Residential,Bellevue,WA,98008,870000,3.0,2.25,2350.0,9114.0,1957.0,110,370.0,241.0,N,Y,47.61426229999999,-122.1185695
Townhouse,Bellevue,WA,98006,500000,2.0,2.5,1270.0,93201.0,1998.0,115,394.0,506.0,N,Y,47.5744121,-122.16563719999999
Multi-Family (2-4 Unit),Seattle,WA,98106,750000,6.0,4.0,2478.0,4780.0,1966.0,122,303.0,241.0,N,Y,47.5223407,-122.34706340000001
Condo/Co-op,Seattle,WA,98103,369000,2.0,2.0,925.0,15938.0,1987.0,138,399.0,355.0,N,Y,47.6973248,-122.34846759999999
Condo/Co-op,Seattle,WA,98125,355000,2.0,2.0,828.0,7576.5,2000.0,144,429.0,327.0,N,Y,47.7188375,-122.31849620000001
Single Family Residential,Bellevue,WA,98006,1498000,4.0,2.5,2960.0,9481.0,1999.0,145,506.0,9.0,N,Y,47.5468781,-122.1817775
Single Family Residential,Renton,WA,98056,629990,3.0,2.25,1800.0,7438.0,1994.0,151,350.0,241.0,N,Y,47.5037859,-122.1894486
Single Family Residential,Seattle,WA,98117,1199950,4.0,2.5,2800.0,9576.0,1948.0,157,429.0,241.0,N,Y,47.6962778,-122.3957436
Condo/Co-op,Seattle,WA,98115,477999,2.0,2.0,1115.0,7576.5,1979.0,159,429.0,547.0,N,Y,47.7001155,-122.3225659
Single Family Residential,Shoreline,WA,98155,699950,5.0,1.75,2200.0,12486.0,1948.0,161,318.0,241.0,N,Y,47.749867,-122.3079469
Single Family Residential,Woodway,WA,98020,2460000,6.0,8.0,8833.0,43560.0,1984.0,167,279.0,241.0,N,Y,47.8006356,-122.3853634
Condo/Co-op,Seattle,WA,98109,599950,2.0,2.0,922.0,7576.5,2000.0,171,651.0,555.0,N,Y,47.6193175,-122.3570761
Townhouse,Seattle,WA,98106,499999,3.0,2.25,1600.0,1335.0,2009.0,193,312.0,241.0,N,Y,47.5302395,-122.36199140000001
Condo/Co-op,Seattle,WA,98105,275000,1.0,1.0,700.0,7576.5,1923.0,221,393.0,414.0,N,Y,47.6638338650281,-122.31230646371799
Single Family Residential,Renton,WA,98058,700000,5.0,2.75,3080.0,6309.0,2003.0,1,227.0,46.0,N,Y,47.45275170000001,-122.1170937
Mobile/Manufactured Home,Kingston,WA,98346,234000,3.0,1.75,1344.0,59677.0,1976.0,1,174.0,241.0,N,Y,47.7578419,-122.47560700000001
Condo/Co-op,Seattle,WA,98104,1149900,2.0,1.75,1726.0,7576.5,2018.0,1,666.0,1382.0,N,Y,47.595985,-122.33357600000001
Condo/Co-op,Seattle,WA,98104,789900,1.0,1.0,775.0,7576.5,2018.0,1,1019.0,652.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,1022900,2.0,1.75,1034.0,7576.5,2018.0,1,989.0,878.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,662900,1.0,1.0,642.0,7576.5,2018.0,1,1033.0,542.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,726900,1.0,1.0,809.0,7576.5,2018.0,1,899.0,681.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,899900,2.0,1.75,1034.0,7576.5,2018.0,1,870.0,866.0,N,Y,47.595985,-122.33357600000001
Condo/Co-op,Seattle,WA,98104,721900,2.0,1.75,821.0,7576.5,2018.0,1,879.0,362.0,N,Y,47.595985,-122.33357600000001
Condo/Co-op,Seattle,WA,98104,548900,1.0,1.0,650.0,7576.5,2018.0,1,844.0,540.0,N,Y,47.595985,-122.33357600000001
Condo/Co-op,Seattle,WA,98104,837900,2.0,1.75,963.0,7576.5,2018.0,1,870.0,434.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,595900,1.0,1.0,668.0,7576.5,2018.0,1,892.0,298.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,811900,1.0,1.0,771.0,7576.5,2018.0,1,1053.0,652.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,771900,1.0,1.0,791.0,7576.5,2018.0,1,976.0,666.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,746900,1.0,1.0,817.0,7576.5,2018.0,1,914.0,688.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,589900,1.0,1.0,619.0,7576.5,2018.0,1,953.0,275.0,N,Y,47.595985,-122.33357609999999
Condo/Co-op,Seattle,WA,98104,781900,1.0,1.0,866.0,7576.5,2018.0,1,903.0,712.0,N,Y,47.595985,-122.33357600000001
Vacant Land,Tukwila,WA,98168,49950,0.0,2.0,1712.0,17776.0,1980.0,1,270.0,241.0,N,Y,47.481081700000004,-122.2736649
Multi-Family (5+ Unit),Burien,WA,98166,1300000,12.0,6.0,5736.0,7639.0,1979.0,1,227.0,241.0,N,Y,47.464650299999995,-122.3461841
Single Family Residential,Port Orchard,WA,98366,297900,3.0,1.75,1322.0,7841.0,1995.0,1,225.0,241.0,N,Y,47.5454299,-122.55218149999999
Single Family Residential,Seattle,WA,98118,399500,3.0,1.5,1534.0,5250.0,1968.0,1,260.0,241.0,N,Y,47.5160844,-122.26709299999999
Condo/Co-op,Seattle,WA,98102,325000,1.0,1.0,1712.0,7576.5,1956.0,1,270.0,249.0,N,Y,47.626676700000004,-122.3261888
Multi-Family (2-4 Unit),Seattle,WA,98103,799950,4.0,2.0,1712.0,3192.0,1991.0,1,270.0,241.0,N,Y,47.696418,-122.34833
Single Family Residential,Bothell,WA,98021,1028609,5.0,3.5,3301.0,9601.0,2019.0,1,312.0,154.0,N,Y,47.7856867,-122.21544979999999
Townhouse,Bothell,WA,98021,681990,4.0,3.0,2247.0,1000.0,2018.0,1,304.0,150.0,N,Y,47.781698,-122.22548
Single Family Residential,Seattle,WA,98122,739000,3.0,1.0,2380.0,3572.0,1927.0,1,311.0,241.0,N,Y,47.6261407,-122.30193030000001
Single Family Residential,Burien,WA,98168,325000,4.0,1.0,1380.0,6600.0,1950.0,1,236.0,241.0,N,Y,47.4864255,-122.3177808
Single Family Residential,Kirkland,WA,98033,1040000,3.0,1.75,3020.0,10187.0,1917.0,1,344.0,241.0,N,Y,47.686125700000005,-122.2050428
Single Family Residential,Bellevue,WA,98008,770000,3.0,1.75,1470.0,7500.0,1963.0,1,524.0,241.0,N,Y,47.6214627,-122.1150916
Single Family Residential,Bainbridge Island,WA,98110,1300000,3.0,2.5,3821.0,55757.0,2001.0,1,340.0,241.0,N,Y,47.6355294,-122.5734896
Single Family Residential,Bothell,WA,98021,1108418,5.0,2.75,3517.0,9734.0,2019.0,1,315.0,154.0,N,Y,47.7856867,-122.21544979999999
Single Family Residential,Kirkland,WA,98034,799950,3.0,1.0,960.0,12129.0,1963.0,1,833.0,241.0,N,Y,47.719339500000004,-122.19459769999999
Condo/Co-op,Bellevue,WA,98004,540000,2.0,2.0,1201.0,14.0,1976.0,1,450.0,581.0,N,Y,47.5985288,-122.1935879
Townhouse,Bremerton,WA,98311,209900,2.0,1.5,1152.0,1742.0,1989.0,1,182.0,170.0,N,Y,47.614805700000005,-122.6324845
Single Family Residential,Port Orchard,WA,98366,199999,2.0,1.0,720.0,5663.0,1932.0,1,278.0,241.0,N,Y,47.5414743,-122.6219588
Single Family Residential,Seattle,WA,98199,1250000,3.0,2.5,3160.0,5000.0,1928.0,1,396.0,241.0,N,Y,47.6474845,-122.39060149999999
Single Family Residential,Renton,WA,98056,329000,2.0,1.0,750.0,5172.0,1942.0,1,439.0,241.0,N,Y,47.4949588,-122.1894283
Single Family Residential,Redmond,WA,98052,739000,4.0,2.5,1650.0,7846.0,1982.0,1,448.0,241.0,N,Y,47.723403499999996,-122.10110049999999
Single Family Residential,Renton,WA,98059,455000,4.0,2.25,1380.0,7700.0,1965.0,1,330.0,241.0,N,Y,47.501458,-122.1614041
Townhouse,Seattle,WA,98122,599950,2.0,1.75,1188.0,939.0,2018.0,1,505.0,241.0,N,Y,47.6014694,-122.29928170000001
Single Family Residential,Tukwila,WA,98178,273900,2.0,1.0,800.0,7500.0,1943.0,1,342.0,241.0,N,Y,47.492453499999996,-122.2747332
Single Family Residential,Burien,WA,98166,1235000,4.0,2.5,3470.0,15460.0,1968.0,1,356.0,25.0,N,Y,47.467496999999995,-122.3658447
Multi-Family (5+ Unit),Seattle,WA,98125,3150000,11.0,6.0,1712.0,5392.0,1990.0,1,270.0,241.0,N,Y,47.6676779,-122.2850959
Multi-Family (2-4 Unit),Seattle,WA,98122,925000,4.0,2.0,1620.0,3600.0,1900.0,1,571.0,241.0,N,Y,47.6102489,-122.3052905
Townhouse,Kenmore,WA,98028,694000,3.0,3.5,2460.0,1014.0,2019.0,1,282.0,241.0,N,Y,47.7556018,-122.22909990000001
Condo/Co-op,Seattle,WA,98115,500000,2.0,1.5,1024.0,7576.5,1979.0,1,488.0,297.0,N,Y,47.6822333,-122.26470790000002
Single Family Residential,Kirkland,WA,98033,2288880,5.0,4.0,4200.0,11050.0,2019.0,1,545.0,241.0,N,Y,47.6585107,-122.18830600000001
Single Family Residential,Seattle,WA,98106,549950,3.0,2.0,1700.0,6420.0,1919.0,1,324.0,241.0,N,Y,47.5299463,-122.34830430000001
Vacant Land,Seattle,WA,98118,1500000,0.0,2.0,1712.0,22000.0,1980.0,1,270.0,241.0,N,Y,47.530853,-122.2702743
Single Family Residential,Bremerton,WA,98310,395000,3.0,1.75,1500.0,12197.0,2002.0,1,263.0,241.0,N,Y,47.585269399999994,-122.62289409999998
Single Family Residential,Bremerton,WA,98310,285000,3.0,1.0,1469.0,12632.0,1961.0,1,194.0,241.0,N,Y,47.5998624,-122.63375520000001
Condo/Co-op,Renton,WA,98055,221950,2.0,1.5,950.0,320190.0,1968.0,1,234.0,433.0,N,Y,47.4601774,-122.2006317
Vacant Land,Seattle,WA,98118,150000,0.0,2.0,1712.0,4017.0,1980.0,1,270.0,241.0,N,Y,47.5513809,-122.2785086
Single Family Residential,Shoreline,WA,98155,330000,1.0,2.0,1080.0,10419.0,1940.0,1,306.0,241.0,N,Y,47.768163200000004,-122.31003259999999
Single Family Residential,Seattle,WA,98115,965000,2.0,1.5,2360.0,10965.0,1935.0,1,409.0,241.0,N,Y,47.685835299999994,-122.30445459999999
Single Family Residential,Seattle,WA,98112,825000,4.0,2.0,1630.0,8124.0,1912.0,1,506.0,241.0,N,Y,47.6374711,-122.30401570000001
Single Family Residential,Seattle,WA,98112,2125000,4.0,2.25,2940.0,6900.0,1909.0,1,723.0,241.0,N,Y,47.6275049,-122.3050689
Townhouse,Bellevue,WA,98007,395000,2.0,1.5,979.0,80290.0,1979.0,1,403.0,444.0,N,Y,47.608928399999996,-122.14531299999999
Townhouse,Seattle,WA,98109,1550000,3.0,2.5,2668.0,7576.5,1909.0,1,581.0,1204.0,N,Y,47.627834899999996,-122.3563061
Single Family Residential,Seattle,WA,98126,1450000,4.0,3.0,2995.0,5250.0,2019.0,1,484.0,241.0,N,Y,47.557424,-122.3775486
Single Family Residential,Seattle,WA,98105,1100000,5.0,3.5,3270.0,4280.0,1912.0,1,336.0,241.0,N,Y,47.6636229,-122.31920829999999
Condo/Co-op,Burien,WA,98166,319950,1.0,1.0,705.0,7576.5,2008.0,1,454.0,408.0,N,Y,47.4672737,-122.341218
Single Family Residential,Edmonds,WA,98020,1795000,3.0,1.75,3498.0,39640.0,1955.0,1,513.0,241.0,N,Y,47.8076381,-122.3806784
Single Family Residential,Port Orchard,WA,98366,399900,3.0,2.75,1920.0,5227.0,1996.0,1,208.0,241.0,N,Y,47.5540527,-122.54620759999999
Townhouse,Seattle,WA,98136,729950,3.0,3.25,1546.0,1499.0,2019.0,1,472.0,241.0,N,Y,47.540483200000004,-122.38685990000002
Single Family Residential,Seattle,WA,98125,799500,2.0,2.0,1702.0,3090.0,1939.0,1,470.0,241.0,N,Y,47.709468799999996,-122.2766091
Single Family Residential,Indianola,WA,98342,480000,3.0,2.25,1530.0,13068.0,2017.0,1,314.0,241.0,N,Y,47.7511761,-122.51612959999999
Single Family Residential,Renton,WA,98059,350000,3.0,1.5,1020.0,7800.0,1959.0,1,343.0,241.0,N,Y,47.4799568,-122.1613416
Vacant Land,Bremerton,WA,98310,119000,0.0,2.0,1712.0,4356.0,1980.0,1,270.0,241.0,N,Y,47.58311810000001,-122.6370388
Single Family Residential,Kirkland,WA,98033,2798800,3.0,3.5,3412.0,4800.0,2018.0,1,820.0,241.0,N,Y,47.662857200000005,-122.2066246
Single Family Residential,Kirkland,WA,98033,3148800,4.0,4.5,4183.0,3629.0,2018.0,1,753.0,241.0,N,Y,47.6626921,-122.20643429999998
Single Family Residential,Renton,WA,98058,535000,4.0,2.5,2472.0,3890.0,2007.0,1,216.0,37.0,N,Y,47.4443919,-122.18190590000002
Vacant Land,Seattle,WA,98178,59950,0.0,2.0,1712.0,16700.0,1980.0,2,270.0,241.0,N,Y,47.499080799999994,-122.2694067
Single Family Residential,Bremerton,WA,98311,299950,3.0,2.5,1521.0,22216.0,1981.0,2,197.0,241.0,N,Y,47.6482121,-122.6346142
Single Family Residential,Kenmore,WA,98028,499950,3.0,1.5,1300.0,10000.0,1959.0,2,385.0,241.0,N,Y,47.7359026,-122.24775590000002
Single Family Residential,Seattle,WA,98116,999000,4.0,3.75,2800.0,5800.0,1983.0,2,357.0,241.0,N,Y,47.5656255,-122.38985100000001
Townhouse,Seattle,WA,98107,1095000,4.0,2.25,1939.0,2499.0,2014.0,2,565.0,241.0,N,Y,47.674013,-122.3834636
Vacant Land,Seattle,WA,98125,650000,0.0,2.0,1712.0,23500.0,1980.0,2,270.0,241.0,N,Y,47.7072232,-122.30226609999998
Single Family Residential,Tukwila,WA,98178,669900,5.0,2.75,2802.0,6555.0,2019.0,2,239.0,241.0,N,Y,47.490658399999994,-122.2691456
Condo/Co-op,Seattle,WA,98122,390000,1.0,1.0,600.0,7576.5,1924.0,2,650.0,588.0,N,Y,47.6126959,-122.31508729999999
Condo/Co-op,Kenmore,WA,98028,325000,2.0,2.0,1003.0,210392.0,1995.0,2,324.0,452.0,N,Y,47.7554351,-122.2384227
Multi-Family (2-4 Unit),Port Orchard,WA,98366,159900,4.0,2.0,3494.0,20038.0,1954.0,2,46.0,241.0,N,Y,47.5219815,-122.6333522
Townhouse,Seattle,WA,98115,400000,2.0,1.5,1096.0,36500.0,1979.0,2,365.0,445.0,N,Y,47.6924334,-122.30628030000001
Single Family Residential,Bellevue,WA,98004,2380000,5.0,3.75,3463.0,8283.0,2011.0,2,687.0,241.0,N,Y,47.63211,-122.19995049999999
Vacant Land,Kingston,WA,98346,105900,0.0,2.0,1712.0,29185.0,1980.0,2,270.0,241.0,N,Y,47.7503316,-122.4763669
Condo/Co-op,Lynnwood,WA,98036,242950,2.0,1.5,1340.0,7576.5,1979.0,2,181.0,420.0,N,Y,47.811552,-122.31476799999999
Townhouse,Bellevue,WA,98008,934990,3.0,3.0,1832.0,1.0,2019.0,2,510.0,319.0,N,Y,47.623242100000006,-122.1315081
Single Family Residential,Seattle,WA,98112,1499950,4.0,3.0,2300.0,5286.0,1908.0,2,652.0,241.0,N,Y,47.624249799999994,-122.3008664
Single Family Residential,Kenmore,WA,98028,1399000,4.0,3.5,3800.0,35719.0,2019.0,2,368.0,241.0,N,Y,47.746779,-122.23634299999999
Single Family Residential,Tukwila,WA,98168,199999,0.0,2.0,1440.0,10000.0,1912.0,2,139.0,241.0,N,Y,47.4789943,-122.2753156
Condo/Co-op,Redmond,WA,98052,409000,2.0,1.0,774.0,139507.0,1981.0,2,528.0,325.0,N,Y,47.669289,-122.1286371
Single Family Residential,Edmonds,WA,98020,799500,4.0,1.75,2584.0,8276.0,1956.0,2,309.0,241.0,N,Y,47.8146558,-122.37724080000001
Single Family Residential,Seattle,WA,98146,419950,4.0,1.75,1450.0,8086.0,1962.0,2,290.0,241.0,N,Y,47.4978551,-122.336497
Single Family Residential,Renton,WA,98055,625000,5.0,3.25,4510.0,8400.0,1985.0,2,139.0,241.0,N,Y,47.4552365,-122.203197
Single Family Residential,Bellevue,WA,98008,925000,4.0,2.25,2270.0,10007.0,1966.0,2,407.0,241.0,N,Y,47.626313399999994,-122.12460559999998
Condo/Co-op,Seattle,WA,98144,400000,2.0,1.0,884.0,7576.5,1985.0,2,452.0,432.0,N,Y,47.5910727,-122.3179422
Single Family Residential,Seattle,WA,98136,1100000,6.0,3.0,3420.0,12750.0,1923.0,2,322.0,241.0,N,Y,47.521254,-122.39098700000001
